Independence Creek	540	39.483333333333334	-120.28333333333333
Independence Camp	539	39.45	-120.3
Big Meadow	340	39.45	-119.95
Css Lab	428	39.333333333333336	-120.36666666666666
Truckee 2	834	39.3	-120.18333333333334
Mt Rose Ski Area	652	39.31666666666667	-119.9
Little Valley	1242	39.25	-119.88333333333334
Squaw Valley GC	784	39.18333333333333	-120.26666666666667
Tahoe City Cross	809	39.166666666666664	-120.15
Marlette Lake	615	39.166666666666664	-119.9
Ward Creek 3	848	39.13333333333333	-120.21666666666667
Rubicon 2	724	39.0	-120.13333333333334
Fallen Leaf	473	38.93333333333333	-120.05
Heavenly Valley	518	38.916666666666664	-119.91666666666667
Echo Peak	463	38.85	-120.08333333333333
Hagans Meadow	508	38.85	-119.93333333333334
Horse Meadow	1050	38.833333333333336	-119.88333333333334
Burnside Lake	1051	38.71666666666667	-119.9
Carson Pass	1067	38.7	-120.0
Forestdale Creek	1049	38.68333333333333	-119.96666666666667
Spratt Creek	778	38.666666666666664	-119.81666666666666
Monitor Pass	633	38.666666666666664	-119.61666666666666
Blue Lakes	356	38.6	-119.91666666666667
Ebbetts Pass	462	38.55	-119.8
Poison Flat	697	38.5	-119.63333333333334
Lobdell Lake	587	38.43333333333333	-119.36666666666666
Summit Meadow	1052	38.4	-119.53333333333333
Sonora Pass	771	38.31666666666667	-119.6
Leavitt Meadows	575	38.3	-119.55
Leavitt Lake	574	38.28333333333333	-119.61666666666666
Virginia Lakes Ridge	846	38.06666666666667	-119.23333333333333
